question_id,answer_type,consistency_score,principled_consistency
500,low,33.333333333333336,50.0
501,high,83.33333333333333,91.66666666666667
501,low,58.333333333333336,50.0
502,high,100.0,75.0
502,low,75.0,58.333333333333336
503,high,75.0,75.0
503,low,75.0,41.666666666666664
504,high,100.0,100.0
504,low,25.0,75.0
505,high,83.33333333333333,75.0
505,low,41.666666666666664,58.333333333333336
